Plug,,,,,,,,,,,,,,,,,,,,,,,,,,,
aus 20100127 Beladung_M_BEV.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100202,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASEID,PKWID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,
12525,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,,
12626,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
12635,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
15419,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
18584,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,,
18805,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,WAHR,,
19748,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,,
21690,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
21881,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
21899,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
22033,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
24307,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,,
25135,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
33336,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
33553,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
34241,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,,
34958,1,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,,
41611,1,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
45114,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
