CASEID,PKWID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12525,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1.5,0,0
12626,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
12635,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,15,0,0,0,0,0
15419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
18584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
18805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
19748,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
21690,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0
21881,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,0,0,0
21899,1,0,0,0,0,0,0,0,0,0,0,0,1.5,0,3,0,0,0,1.5,0,0,0,0,0,0
22033,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,1.5,0,0,0,0,0,0,0,0
24307,1,0,0,0,0,0,0,0,0,40,0,13,27,0,0,0,0,0,0,0,21,0,0,0,0
25135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,0,0,0,0,0
33336,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
33553,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
34241,1,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0
34958,1,0,0,0,0,0,25,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,20,0,0
41611,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
45114,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48521,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,20,0,0,0
48900,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
80088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,2,0,3.5,0,0
82538,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
84971,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
783,1,0,0,0,0,0,49,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
836,2,0,0,0,0,0,0,0,0,6,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0
4676,1,0,0,0,0,0,0,0,0,0,0,0,1.5,0.7,0,0,0,0,0,0,0,0,0,0,0
6127,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
