 ,,Albania,Algeria,Austria,Belgium,Bosnia_Herzegovina,Bulgaria,Croatia,Czech_Republic,Estonia,Finland,France,GermanyNorth_data,GermanySouth_data,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Morocco,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tunisia,UK,Ukraine
BEV-S,t0001,0,0,0,0,0,0,0,0,0,0,0,0.868,0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0002,0,0,0,0,0,0,0,0,0,0,0,0.868,0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0003,0,0,0,0,0,0,0,0,0,0,0,0.867,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0004,0,0,0,0,0,0,0,0,0,0,0,0.866,0.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0005,0,0,0,0,0,0,0,0,0,0,0,0.857,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0006,0,0,0,0,0,0,0,0,0,0,0,0.821,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0007,0,0,0,0,0,0,0,0,0,0,0,0.737,0.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0008,0,0,0,0,0,0,0,0,0,0,0,0.633,0.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0009,0,0,0,0,0,0,0,0,0,0,0,0.613,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0010,0,0,0,0,0,0,0,0,0,0,0,0.568,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0011,0,0,0,0,0,0,0,0,0,0,0,0.523,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0012,0,0,0,0,0,0,0,0,0,0,0,0.506,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0013,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0014,0,0,0,0,0,0,0,0,0,0,0,0.507,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0015,0,0,0,0,0,0,0,0,0,0,0,0.506,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0016,0,0,0,0,0,0,0,0,0,0,0,0.498,0.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
