time,tripStartWeekday,0
0,1,1.5
0,2,1.5
0,3,1.5
0,4,1.5
0,5,1.5
0,6,1.5
0,7,1.5
1,1,1.5
1,2,1.5
1,3,1.5
1,4,1.5
1,5,1.5
1,6,1.5
1,7,1.5
2,1,1.5
2,2,1.5
2,3,1.5
2,4,1.5
2,5,1.5
2,6,1.5
2,7,1.5
3,1,1.5
3,2,1.5
3,3,1.5
3,4,1.5
3,5,1.5
3,6,1.5
3,7,1.5
4,1,1.5
4,2,1.5
4,3,1.5
4,4,1.5
4,5,4.73
4,6,1.5
4,7,1.5
5,1,1.5
5,2,1.5
5,3,1.5
5,4,2.26
5,5,2.26
5,6,1.5
5,7,1.5
6,1,4.35
6,2,3.02
6,3,2.072
6,4,5.68
6,5,2.83
6,6,3.4
6,7,1.5
7,1,5.3
7,2,6.440000000000001
7,3,2.45
7,4,2.545
7,5,1.88
7,6,2.6399999999999997
7,7,1.5
8,1,3.78
8,2,2.4404444444444446
8,3,2.452
8,4,2.82625
8,5,3.4000000000000004
8,6,5.3
8,7,3.78
9,1,2.07
9,2,2.07
9,3,2.452
9,4,3.51875
9,5,2.83
9,6,9.12
9,7,3.4000000000000004
10,1,6.7924999999999995
10,2,3.61
10,3,4.35
10,4,2.68
10,5,3.4
10,6,10.62
10,7,6.25
11,1,5.87
11,2,4.16
11,3,7.22
11,4,2.204
11,5,6.756666666666666
11,6,10.62
11,7,10.555555555555554
12,1,5.87
12,2,4.75
12,3,6.6499999999999995
12,4,3.8760000000000003
12,5,7.01
12,6,3.248
12,7,19.0
13,1,4.75
13,2,5.109999999999999
13,3,7.2
13,4,4.54
13,5,13.727671232876714
13,6,4.35
13,7,20.5
14,1,6.25
14,2,9.1
14,3,9.879999999999999
14,4,5.776
14,5,7.58
14,6,4.75
14,7,13.111111111111112
15,1,9.48
15,2,5.3
15,3,6.44
15,4,7.276
15,5,6.65
15,6,7.2
15,7,3.7059999999999995
16,1,5.68
16,2,4.37
16,3,7.2
16,4,5.68
16,5,3.97
16,6,3.59
16,7,4.033333333333333
17,1,2.45
17,2,3.8
17,3,5.933333333333333
17,4,6.06
17,5,4.35
17,6,2.45
17,7,2.83
18,1,2.45
18,2,1.652
18,3,4.16
18,4,3.97
18,5,4.35
18,6,2.07
18,7,2.45
19,1,1.5
19,2,2.913333333333333
19,3,1.7099999999999997
19,4,1.5674999999999997
19,5,1.5
19,6,1.5
19,7,1.5
20,1,1.5
20,2,2.45
20,3,3.02
20,4,1.5
20,5,1.5
20,6,1.5
20,7,1.5
21,1,1.5
21,2,3.3440000000000003
21,3,1.5
21,4,1.5
21,5,1.5
21,6,1.5
21,7,1.5
22,1,1.5
22,2,1.5
22,3,1.5
22,4,1.5
22,5,1.5
22,6,1.5
22,7,1.5
23,1,1.5
23,2,1.5
23,3,1.5
23,4,1.5
23,5,1.5
23,6,1.5
23,7,1.5
