time,tripStartWeekday,0
0,1,0.019980388766925983
0,2,0.396383050546712
0,3,0.47661952715549827
0,4,0.8082759694278141
0,5,0.0024967055509379737
0,6,0.03297413070731597
0,7,0.0
1,1,0.0
1,2,0.21151287811773523
1,3,0.3867788219083651
1,4,0.5270570818292971
1,5,0.0
1,6,0.06594826141463193
1,7,0.0
2,1,0.0
2,2,0.0
2,3,0.07742049334364562
2,4,0.0
2,5,0.0
2,6,0.0023981185968956985
2,7,0.0022074918588718085
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
5,1,0.0
5,2,0.03351269095368107
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
8,1,0.00932577959852678
8,2,0.002384900072352328
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
9,1,0.0
9,2,0.3474383558020225
9,3,0.0
9,4,0.038825939429484514
9,5,0.012330860011325313
9,6,0.04033662190765898
9,7,0.0
10,1,0.3210566203339954
10,2,0.001835612037774155
10,3,0.09510313116311896
10,4,0.2781387043014277
10,5,0.05210180635142204
10,6,0.017632983660701127
10,7,0.0
11,1,0.04326982464919711
11,2,0.011013765653559673
11,3,0.04813125490787776
11,4,0.13522494796801285
11,5,0.07895091776411443
11,6,0.09188341566730732
11,7,0.46933683541164745
12,1,0.4476100510533086
12,2,0.13252956691410733
12,3,0.1067855825397829
12,4,0.1595123260082096
12,5,0.1852941466840603
12,6,0.18636312573549568
12,7,0.433120231339533
13,1,0.2618244080432314
13,2,0.017594311057336703
13,3,0.649172722829398
13,4,0.06790558106514602
13,5,0.055335624804422966
13,6,0.4994468061366188
13,7,1.0310964667743727
14,1,0.4078439807711557
14,2,0.16679940772031418
14,3,0.2619793677867611
14,4,0.0
14,5,0.25520520019313786
14,6,0.6421561274147121
14,7,0.11560865488284913
15,1,0.2514919291116101
15,2,0.2713602099227564
15,3,0.7570926991813611
15,4,0.04124986497343627
15,5,0.25169151302837
15,6,0.0030133058116836977
15,7,0.23574864050818553
16,1,0.07356467266419779
16,2,0.30683516711295755
16,3,0.19423738666513612
16,4,0.0801680811594478
16,5,0.7044331646019427
16,6,0.25439660425985844
16,7,0.25792771990043384
17,1,0.5460997177078992
17,2,1.6027372244137001
17,3,0.3863226644120648
17,4,1.32251836414722
17,5,1.3163869983742955
17,6,0.7809697732603846
17,7,0.3847133074478463
18,1,1.0757696755578263
18,2,0.7181812179812547
18,3,0.4680144026407905
18,4,3.683707317995047
18,5,0.9888488494629978
18,6,0.582115801245906
18,7,0.26940836875839236
19,1,0.8940307663642915
19,2,0.8216769425738777
19,3,0.133399643980914
19,4,0.0435425802212424
19,5,0.6775847563097226
19,6,0.5600382753642682
19,7,0.5852415115801007
20,1,0.17109194662007288
20,2,0.0812691490204363
20,3,1.8143198588871172
20,4,0.20793665172465314
20,5,1.9412742722624339
20,6,0.5814925153407724
20,7,0.305556101297101
21,1,0.07673563976641552
21,2,0.08193859744979969
21,3,0.6295530597488684
21,4,1.445348751292514
21,5,0.4553416408039178
21,6,0.5516325221924256
21,7,0.0
22,1,0.1737284470040207
22,2,0.07872591028911984
22,3,1.0749046354707026
22,4,1.0538242341755306
22,5,0.2197100884825417
22,6,0.4213431093146636
22,7,0.14392965650764872
23,1,0.039960777533851966
23,2,0.5812532229756888
23,3,0.5664602324026312
23,4,1.089494857026331
23,5,0.0049934111018759475
23,6,0.0
23,7,0.0
