time,tripStartWeekday,uncontrolledCharging,electricityDemandDriving,socMax,socMin,gridConnectionShare,auxFuelDriveProfile
0,1,0.019980388766925983,0.0,48.5,1.5,1.0,0.0
0,2,0.396383050546712,-0.004005213914693962,46.722500000000004,1.5,1.0,0.0002002606957346981
0,3,0.47661952715549827,-0.017637601947206573,48.5,1.5,1.0,0.0013086955384636236
0,4,0.8082759694278141,-0.010488796048734194,48.5,1.5,1.0,0.0005244398024367097
0,5,0.0024967055509379737,0.0,48.5,1.5,1.0,0.0
0,6,0.03297413070731597,0.0,48.5,1.5,1.0,0.0
0,7,0.0,-0.01901859725738771,48.5,1.5,1.0,0.0009509298628693855
1,1,0.0,0.0,48.5,1.5,1.0,0.0
1,2,0.21151287811773523,0.0,48.5,1.5,1.0,0.0
1,3,0.3867788219083651,0.03704531239018824,48.5,1.5,0.9922009868652235,0.0
1,4,0.5270570818292971,0.0,48.5,1.5,1.0,0.0
1,5,0.0,0.0,48.5,1.5,1.0,0.0
1,6,0.06594826141463193,0.0,48.5,1.5,1.0,0.0
1,7,0.0,0.00220749185887181,48.5,1.5,0.9988381621795411,0.0
2,1,0.0,0.0,48.5,1.5,1.0,0.0
2,2,0.0,0.0,48.5,1.5,1.0,0.0
2,3,0.07742049334364562,0.0,48.5,1.5,1.0,0.0
2,4,0.0,0.0,48.5,1.5,1.0,0.0
2,5,0.0,0.0,48.5,1.5,1.0,0.0
2,6,0.0023981185968956985,0.0,48.5,1.5,1.0,0.0
2,7,0.0022074918588718085,0.0,48.5,1.5,1.0,0.0
3,1,0.0,0.0,48.5,1.5,1.0,0.0
3,2,0.0,0.0,48.5,1.5,1.0,0.0
3,3,0.0,0.0,48.5,1.5,1.0,0.0
3,4,0.0,0.0,48.5,1.5,1.0,0.0
3,5,0.0,0.0,48.5,1.5,1.0,0.0
3,6,0.0,0.0,48.5,1.5,1.0,0.0
3,7,0.0,0.0,48.5,1.5,1.0,0.0
4,1,0.0,0.0,48.5,1.5,1.0,0.0
4,2,0.0,0.033512690953680965,48.5,1.5,0.9647234832066516,0.0
4,3,0.0,-3.0685723898881744e-05,48.5,1.5,1.0,0.0032810710278886566
4,4,0.0,0.0,48.5,1.5,1.0,0.0
4,5,0.0,0.0,48.5,4.73,1.0,0.0
4,6,0.0,0.0,48.5,1.5,1.0,0.0
4,7,0.0,0.0,48.5,1.5,1.0,0.0
5,1,0.0,-4.5920919570367404e-05,48.5,1.5,1.0,0.006798376907997475
5,2,0.03351269095368107,0.08863688321743461,48.5,1.5,0.9584961971787013,0.0018081959091343248
5,3,0.0,0.6519845430366763,48.5,1.5,0.8706555857589626,0.004426351127303499
5,4,0.0,4.015981343655065e-06,48.5,2.26,1.0,0.0002859378716682086
5,5,0.0,0.2140329719107832,48.5,2.26,0.9611607701120584,0.0
5,6,0.0,0.07359857162145828,48.5,1.5,0.975789943545573,0.0
5,7,0.0,0.0,48.5,1.5,1.0,0.0
6,1,0.0,0.15389683153928535,48.5,4.35,0.8648474136122913,0.008168455253898185
6,2,0.0,9.207652193915778e-06,48.5,3.02,0.9479219520960445,0.0010145444134490296
6,3,0.0,0.07050409210442922,46.98,2.072,0.8251109401547121,0.0063131244206054435
6,4,0.0,0.05854355561844686,47.74,5.68,0.9524760373381335,0.0
6,5,0.0,1.5176746070643687,45.27,2.83,0.8914731454808227,0.0007120543699846732
6,6,0.0,0.0,48.5,3.4,0.975789943545573,0.0
6,7,0.0,-3.0025181995712427e-18,48.5,1.5,1.0,0.0007707619711514443
7,1,0.0,0.6951010262939685,44.7,5.3,0.5918724843352878,0.0008884446190732058
7,2,0.0,0.2713040919440676,46.98,6.440000000000001,0.8597109081580615,0.0015555901049290476
7,3,0.0,0.09804125472522998,46.79,2.45,0.680367610676169,0.0024005933514950678
7,4,0.0,0.7625729088737695,44.32,2.545,0.7945997844877847,0.0012602550819932215
7,5,0.0,0.18757441128312416,45.27,1.88,0.7987015139069518,0.0
7,6,0.0,0.1675661652796323,46.6,2.6399999999999997,0.7401770237529451,0.0
7,7,0.0,0.0,48.5,1.5,1.0,0.0
8,1,0.00932577959852678,0.3085058239125768,44.13,3.78,0.5242413812289721,0.009831000261206108
8,2,0.002384900072352328,1.255390521882625,40.9,2.4404444444444446,0.71526102760721,0.002373490899093675
8,3,0.0,0.040615241832541005,46.6,2.452,0.6368500928700542,0.0011058308176580777
8,4,0.0,0.1851479960772823,44.32,2.82625,0.6702079589750192,0.0
8,5,0.0,0.07968797351619743,45.27,3.4000000000000004,0.7205042223651603,0.0
8,6,0.0,0.07154779118543142,46.22,5.3,0.7255585538593425,0.00099229076445181
8,7,0.0,0.01924747999547986,48.5,3.78,0.978538426205887,0.0008782438578163003
9,1,0.0,0.4945802712059191,44.13,2.07,0.36424108017062273,0.0
9,2,0.3474383558020225,0.18411372025167985,43.56,2.07,0.5651668770955274,0.0002712301609388139
9,3,0.0,0.13039158132794043,43.94,2.452,0.5678849659631782,0.00012880555191104764
9,4,0.038825939429484514,0.29475709198029987,44.32,3.51875,0.6335476392832877,0.0013573620830426975
9,5,0.012330860011325313,0.10458216872751863,45.27,2.83,0.6542111391302993,0.00245526795024814
