time,tripStartWeekday,0
0,1,48.5
0,2,46.722500000000004
0,3,48.5
0,4,48.5
0,5,48.5
0,6,48.5
0,7,48.5
1,1,48.5
1,2,48.5
1,3,48.5
1,4,48.5
1,5,48.5
1,6,48.5
1,7,48.5
2,1,48.5
2,2,48.5
2,3,48.5
2,4,48.5
2,5,48.5
2,6,48.5
2,7,48.5
3,1,48.5
3,2,48.5
3,3,48.5
3,4,48.5
3,5,48.5
3,6,48.5
3,7,48.5
4,1,48.5
4,2,48.5
4,3,48.5
4,4,48.5
4,5,48.5
4,6,48.5
4,7,48.5
5,1,48.5
5,2,48.5
5,3,48.5
5,4,48.5
5,5,48.5
5,6,48.5
5,7,48.5
6,1,48.5
6,2,48.5
6,3,46.98
6,4,47.74
6,5,45.27
6,6,48.5
6,7,48.5
7,1,44.7
7,2,46.98
7,3,46.79
7,4,44.32
7,5,45.27
7,6,46.6
7,7,48.5
8,1,44.13
8,2,40.9
8,3,46.6
8,4,44.32
8,5,45.27
8,6,46.22
8,7,48.5
9,1,44.13
9,2,43.56
9,3,43.94
9,4,44.32
9,5,45.27
9,6,44.7
9,7,46.6
10,1,44.7
10,2,43.56
10,3,43.94
10,4,44.32
10,5,45.27
10,6,44.7
10,7,46.22
11,1,44.13
11,2,43.56
11,3,43.94
11,4,43.251250000000006
11,5,45.27
11,6,41.53333333333333
11,7,43.75
12,1,40.9
12,2,43.465
12,3,43.94
12,4,43.75
12,5,45.27
12,6,30.260000000000005
12,7,35.2
13,1,39.760000000000005
13,2,42.040000000000006
13,3,39.0
13,4,43.75
13,5,42.483333333333334
13,6,41.260000000000005
13,7,35.2
14,1,41.639999999999986
14,2,40.71
14,3,39.0
14,4,42.8
14,5,35.675
14,6,42.8
14,7,28.550000000000004
15,1,45.08
15,2,39.0
15,3,39.0
15,4,42.8
15,5,31.4
15,6,42.8
15,7,15.250000000000004
16,1,40.9
16,2,40.52
16,3,36.72
16,4,41.85
16,5,31.4
16,6,42.8
16,7,26.250000000000004
17,1,41.66
17,2,40.52
17,3,36.15
17,4,40.044000000000004
17,5,34.44
17,6,41.85
17,7,37.25
18,1,42.4
18,2,38.7425
18,3,40.12
18,4,43.94
18,5,41.660000000000004
18,6,42.800000000000004
18,7,43.120000000000005
19,1,42.8
19,2,46.98
19,3,41.09
19,4,43.94
19,5,41.660000000000004
19,6,42.800000000000004
19,7,45.84
20,1,48.31
20,2,46.79
20,3,46.58
20,4,43.540000000000006
20,5,38.81
20,6,42.800000000000004
20,7,48.5
21,1,48.5
21,2,46.79
21,3,46.871428571428574
21,4,47.93
21,5,48.5
21,6,42.800000000000004
21,7,48.5
22,1,48.5
22,2,46.79
22,3,48.5
22,4,47.93
22,5,48.5
22,6,48.5
22,7,48.5
23,1,48.5
23,2,46.722500000000004
23,3,48.5
23,4,48.5
23,5,48.5
23,6,48.5
23,7,48.5
